name,num_agents,memory_type,memory_size,decay_rate,dynamic_base,dynamic_max,initial_tau,cooling_rate,heating_penalty,random_seed,converged,convergence_tick,final_tick,final_majority_strategy,final_majority_fraction,final_mean_tau,final_mean_trust,run_time_seconds
fixed_trial1,50,fixed,5,0.9,2,6,1.0,0.1,0.3,1,False,,500,1,0.56,1.7982531808190598,0.10618253641102121,0.6649746894836426
fixed_trial0,50,fixed,5,0.9,2,6,1.0,0.1,0.3,0,False,,500,0,0.5,1.7182119711125219,0.14830948888814635,0.6879746913909912
fixed_trial2,50,fixed,5,0.9,2,6,1.0,0.1,0.3,2,False,,500,0,0.58,1.7496478642596,0.13176428196863152,0.6654646396636963
fixed_trial3,50,fixed,5,0.9,2,6,1.0,0.1,0.3,3,False,,500,1,0.62,1.729409868953704,0.14241585844541893,0.7119755744934082
fixed_trial4,50,fixed,5,0.9,2,6,1.0,0.1,0.3,4,False,,500,0,0.6,1.7449134137242686,0.13425609803985866,0.6337761878967285
fixed_trial6,50,fixed,5,0.9,2,6,1.0,0.1,0.3,6,False,,500,0,0.58,1.7712481099715194,0.12039573159393717,0.6372847557067871
fixed_trial5,50,fixed,5,0.9,2,6,1.0,0.1,0.3,5,False,,500,0,0.52,1.7763064628648308,0.11773344059745738,0.6472833156585693
fixed_trial7,50,fixed,5,0.9,2,6,1.0,0.1,0.3,7,False,,500,1,0.52,1.7057584579447262,0.15486396950277556,0.6752839088439941
fixed_trial8,50,fixed,5,0.9,2,6,1.0,0.1,0.3,8,False,,500,1,0.54,1.744987300110023,0.13421721046840912,0.6361792087554932
fixed_trial9,50,fixed,5,0.9,2,6,1.0,0.1,0.3,9,False,,500,0,0.52,1.6888366164693938,0.16377020185821375,0.6356706619262695
decay_trial0,50,decay,5,0.9,2,6,1.0,0.1,0.3,0,False,,500,1,0.52,1.7320627103738278,0.141019626119038,0.757183313369751
decay_trial1,50,decay,5,0.9,2,6,1.0,0.1,0.3,1,False,,500,1,0.58,1.7690967501337669,0.12152802624538595,0.770186185836792
decay_trial3,50,decay,5,0.9,2,6,1.0,0.1,0.3,3,False,,500,1,0.54,1.702401627936461,0.15663072213870474,0.7444412708282471
decay_trial2,50,decay,5,0.9,2,6,1.0,0.1,0.3,2,False,,500,0,0.58,1.7555871295019465,0.12863835289371225,0.7796483039855957
decay_trial4,50,decay,5,0.9,2,6,1.0,0.1,0.3,4,False,,500,0,0.56,1.7189101932730526,0.1479420035404987,0.7796471118927002
decay_trial5,50,decay,5,0.9,2,6,1.0,0.1,0.3,5,False,,500,0,0.52,1.7617472353610721,0.12539619191522516,0.7936465740203857
decay_trial6,50,decay,5,0.9,2,6,1.0,0.1,0.3,6,False,,500,0,0.6,1.783716506585913,0.11383341758636156,0.7314038276672363
decay_trial7,50,decay,5,0.9,2,6,1.0,0.1,0.3,7,False,,500,0,0.5,1.7398592063382268,0.1369162071904071,0.7501974105834961
decay_trial8,50,decay,5,0.9,2,6,1.0,0.1,0.3,8,False,,500,1,0.54,1.7097952986802687,0.15273931648406924,0.7867119312286377
decay_trial9,50,decay,5,0.9,2,6,1.0,0.1,0.3,9,False,,500,0,0.52,1.641505954943895,0.18868107634531847,0.7867088317871094
dynamic_trial0,50,dynamic,5,0.9,2,6,1.0,0.1,0.3,0,False,,500,0,0.5,1.769319074218585,0.12141101356916607,0.6550745964050293
dynamic_trial1,50,dynamic,5,0.9,2,6,1.0,0.1,0.3,1,False,,500,1,0.58,1.8158796486908024,0.09690544805747224,0.685584545135498
dynamic_trial2,50,dynamic,5,0.9,2,6,1.0,0.1,0.3,2,False,,500,0,0.56,1.6699705826193467,0.1736996933582384,0.6860988140106201
dynamic_trial3,50,dynamic,5,0.9,2,6,1.0,0.1,0.3,3,False,,500,1,0.6,1.7565751050487963,0.12811836576379135,0.6541011333465576
dynamic_trial4,50,dynamic,5,0.9,2,6,1.0,0.1,0.3,4,False,,500,0,0.56,1.7041271941267848,0.15572252940695547,0.6664314270019531
dynamic_trial5,50,dynamic,5,0.9,2,6,1.0,0.1,0.3,5,False,,500,0,0.56,1.726411362684991,0.14399401963947833,0.6794321537017822
dynamic_trial6,50,dynamic,5,0.9,2,6,1.0,0.1,0.3,6,False,,500,0,0.56,1.7809787876976244,0.1152743222644082,0.6819202899932861
dynamic_trial7,50,dynamic,5,0.9,2,6,1.0,0.1,0.3,7,False,,500,0,0.52,1.7352163929563509,0.1393597931808679,0.6644115447998047
dynamic_trial8,50,dynamic,5,0.9,2,6,1.0,0.1,0.3,8,False,,500,0,0.5,1.7300920715713257,0.14205680443614427,0.6653656959533691
dynamic_trial9,50,dynamic,5,0.9,2,6,1.0,0.1,0.3,9,False,,500,0,0.56,1.6803480712568426,0.1682378572332406,0.6608662605285645
